zone_id,timestamp,population,is_mnc_zone,transformer_capacity,temperature_c,humidity_pct,solar_irradiance_wm2,wind_speed_kmh,is_weekend,is_holiday,load_kwh
Sector_A_Residential,2025-01-01 00:00:00,45000,0,2500,9.76,91.17,3.01,15.99,0,1,1229.82
Sector_A_Residential,2025-01-01 01:00:00,45000,0,2500,7.66,84.63,18.01,14.93,0,1,1502.04
Sector_A_Residential,2025-01-01 02:00:00,45000,0,2500,8.48,84.07,0.0,13.74,0,1,1325.31
Sector_A_Residential,2025-01-01 03:00:00,45000,0,2500,9.85,89.5,42.39,14.44,0,1,1208.14
Sector_A_Residential,2025-01-01 04:00:00,45000,0,2500,6.89,90.47,0.0,12.84,0,1,1643.07
Sector_A_Residential,2025-01-01 05:00:00,45000,0,2500,7.49,88.19,36.39,13.27,0,1,1744.57
Sector_A_Residential,2025-01-01 06:00:00,45000,0,2500,11.71,89.01,0.0,12.98,0,1,1704.45
Sector_A_Residential,2025-01-01 07:00:00,45000,0,2500,11.49,85.96,130.37,12.21,0,1,2214.39
Sector_A_Residential,2025-01-01 08:00:00,45000,0,2500,10.71,86.36,212.54,14.85,0,1,2560.34
Sector_A_Residential,2025-01-01 09:00:00,45000,0,2500,14.08,85.22,296.36,13.47,0,1,2110.66
Sector_A_Residential,2025-01-01 10:00:00,45000,0,2500,13.83,80.9,366.23,9.13,0,1,1655.04
Sector_A_Residential,2025-01-01 11:00:00,45000,0,2500,15.27,86.95,413.25,14.06,0,1,1227.86
Sector_A_Residential,2025-01-01 12:00:00,45000,0,2500,17.78,74.51,398.66,13.07,0,1,944.02
Sector_A_Residential,2025-01-01 13:00:00,45000,0,2500,14.86,83.8,418.89,14.35,0,1,882.47
Sector_A_Residential,2025-01-01 14:00:00,45000,0,2500,15.8,85.78,325.26,11.84,0,1,863.74
Sector_A_Residential,2025-01-01 15:00:00,45000,0,2500,18.09,71.78,287.58,15.05,0,1,955.88
Sector_A_Residential,2025-01-01 16:00:00,45000,0,2500,17.08,77.13,224.34,11.99,0,1,1317.33
Sector_A_Residential,2025-01-01 17:00:00,45000,0,2500,18.87,80.92,130.19,14.74,0,1,1772.15
Sector_A_Residential,2025-01-01 18:00:00,45000,0,2500,15.71,84.78,11.52,10.61,0,1,2575.19
Sector_A_Residential,2025-01-01 19:00:00,45000,0,2500,13.56,82.04,0.0,10.85,0,1,3366.25
Sector_A_Residential,2025-01-01 20:00:00,45000,0,2500,17.3,75.3,22.42,14.32,0,1,3693.47
Sector_A_Residential,2025-01-01 21:00:00,45000,0,2500,12.7,87.58,0.0,11.05,0,1,3511.03
Sector_A_Residential,2025-01-01 22:00:00,45000,0,2500,11.68,89.72,43.79,19.93,0,1,2834.32
Sector_A_Residential,2025-01-01 23:00:00,45000,0,2500,7.54,85.29,0.0,14.19,0,1,2432.86
Sector_A_Residential,2025-01-02 00:00:00,45000,0,2500,7.86,84.75,0.0,12.51,0,0,1373.78
Sector_A_Residential,2025-01-02 01:00:00,45000,0,2500,8.08,90.21,0.0,15.29,0,0,1349.11
Sector_A_Residential,2025-01-02 02:00:00,45000,0,2500,5.21,95.27,1.09,10.74,0,0,1673.54
Sector_A_Residential,2025-01-02 03:00:00,45000,0,2500,7.76,88.49,3.5,15.65,0,0,1415.78
Sector_A_Residential,2025-01-02 04:00:00,45000,0,2500,6.2,94.28,49.24,15.55,0,0,1711.24
Sector_A_Residential,2025-01-02 05:00:00,45000,0,2500,7.36,87.33,0.0,16.81,0,0,1782.25
Sector_A_Residential,2025-01-02 06:00:00,45000,0,2500,7.76,81.23,0.99,10.88,0,0,2117.02
Sector_A_Residential,2025-01-02 07:00:00,45000,0,2500,13.42,81.2,80.61,8.14,0,0,2115.62
Sector_A_Residential,2025-01-02 08:00:00,45000,0,2500,11.5,85.45,194.57,10.28,0,0,2259.82
Sector_A_Residential,2025-01-02 09:00:00,45000,0,2500,11.18,84.48,334.68,11.43,0,0,2179.03
Sector_A_Residential,2025-01-02 10:00:00,45000,0,2500,16.11,75.03,329.93,18.25,0,0,1492.62
Sector_A_Residential,2025-01-02 11:00:00,45000,0,2500,13.88,75.08,414.35,20.1,0,0,2024.98
